8,,cargo,,"A merchant ship that carries cargo, goods, and materials from one port to another.",,,,,,,
1,,general cargo ship,,"General cargo vessels carry packaged items like chemicals, foods, furniture, machinery, motor- and military vehicles, footwear, garments, etc.",8,,,,,,
2,,container ship,,"Container ships (sometimes spelled containerships) are cargo ships that carry all of their load in truck-size intermodal containers, in a technique called containerization. They are a common means of commercial intermodal freight transport and now carry most seagoing non-bulk cargo. Container ship capacity is measured in twenty-foot equivalent units (TEU).",8,,,,,,
3,,tanker,,Tankers carry petroleum products or other liquid cargo.,8,,,,,,
4,,dry bulk carrier,,"Dry bulk carriers carry coal, grain, ore and other similar products in loose form.",8,,,,,,
5,,multi-purpose vessel,,"Multi-purpose vessels, as the name suggests, carry different classes of cargo – e.g. liquid and general cargo – at the same time.",8,,,,,,
6,,reefer,,"A Reefer, Reefer ships (or Refrigerated) ship is specifically designed[2] and used for shipping perishable commodities which require temperature-controlled, mostly fruits, meat, fish, vegetables, dairy products and other foodstuffs.",8,,,,,,
7,,roll-on/roll-off,,"Roll-on/roll-off (RORO or ro-ro) ships are designed to carry wheeled cargo, such as cars, trucks, semi-trailer trucks, trailers, and railroad cars, that are driven on and off the ship on their own wheels.",8,,,,,,
28,,ocean liner,,"the traditional form of passenger ship. Once such liners operated on scheduled line voyages to all inhabited parts of the world. With the advent of airliners transporting passengers and specialized cargo vessels hauling freight, line voyages have almost died out",,,,,,,
9,,dry cargo,,,8,,,,,,
12,,Handy size,,"carriers of 28,000–40,000 DWT",9,28000,40000,,,,
13,,Handymax,,"carriers of 40,000–50,000 DWT",9,40000,50000,,,,
18,,Capesize,,"vessels larger than Suezmax and Neopanamax, and must traverse the Cape of Good Hope and Cape Horn to travel between oceans",9,,,,,,
19,,Chinamax,,"carriers of 380,000–400,000 DWT up to 24 m (79 ft) draft, 65 m (213 ft) beam and 360 m (1,180 ft) length; these dimensions are limited by port infrastructure in China",9,380000,400000,360,65,Infinity,24
15,,Neopanamax,,"upgraded Panama locks with 366 m (1,201 ft) length, 55 m (180 ft) beam, 18 m (59 ft) draft, 120,000 DWT",9,,120000,366,55,,18
14,,Panamax,,"the largest size that can traverse the original locks of the Panama Canal, a 294.13 m (965.0 ft) length, a 32.2 m (106 ft) width, and a 12.04 m (39.5 ft) draft as well as a height limit of 57.91 m (190.0 ft). Limited to 52,000 DWT loaded, 80,000 DWT empty",9,,52000,294.13,32.2,57.91,12.04
17,,Malaccamax,,"a naval architecture term for the largest tonnage of ship capable of fitting through the 25-metre-deep (82 ft) Strait of Malacca. Bulk carriers and supertankers have been built to this tonnage, and the term is chosen for very large crude carriers (VLCC). They can transport oil from Arabia to China. A typical Malaccamax tanker can have a maximum length of 333 m (1,093 ft), beam of 60 m (197 ft), draught of 20.5 m (67.3 ft), and tonnage of 300,000 DWT",9,,300000,333,60,,20.5
11,,Seawaymax,,"28,000 DWT the largest vessel that can traverse the St Lawrence Seaway. These are vessels less than 740 feet (225.6 m) in length, 78 feet (23.8 m) wide, and have a draft less than 26.51 feet (8.08 m) and a height above the waterline no more than 35.5 metres (116 ft)",9,,28000,225.6,23.8,35.5,8.08
10,,Small Handy size,,"carriers of 20,000–28,000 DWT",9,20000,28000,,,,
21,,Aframax,,"oil tankers between 75,000 and 115,000 DWT. This is the largest size defined by the average freight rate assessment (AFRA) scheme",20,75000,115000,,,,
22,,Q-Max,,"liquefied natural gas carrier for Qatar exports. A ship of Q-Max size is 345 m (1,132 ft) long and measures 53.8 m (177 ft) wide and 34.7 m (114 ft) high, with a shallow draft of approximately 12 m (39 ft)",20,,,345,53.8,34.7,12
16,,Suezmax,,"a naval architecture term for the largest ship measurements capable of transiting the Suez Canal in a laden condition, and is almost exclusively used in reference to tankers. The limiting factors are beam, draft, height (because of the Suez Canal Bridge), and length[1] (even though the canal has no locks)",20,,160000,,77.49,68,20.1
23,,VLCC,,"(Very Large Crude Carrier), supertankers between 150,000 and 320,000 DWT",20,150000,320000,,,,
24,,ULCC,,"(Ultra Large Crude Carrier), enormous supertankers between 320,000 and 550,000 DWT",20,320000,550000,,,,
20,,liquid cargo,,,8,,,,,,
25,,passenger ship,,"a ship whose primary function is to carry passengers. The category does not include cargo vessels which have accommodations for limited numbers of passengers, such as the formerly ubiquitous twelve-passenger freighters in which the transport of passengers is secondary to the carriage of freight",,,,,,,
26,,cruise ship,,"for a long time, cruise ships were smaller than the old ocean liners had been, but in the 1980s, this changed when one of the biggest surviving liners was transformed into a huge cruise ship. Successive classes of ever-larger ships were ordered, until the Cunard liner Queen Elizabeth was finally dethroned from her 56-year reign as the largest passenger ship ever built",25,,,,,,
27,,ferry,,a vessel for day to day or overnight short-sea trips moving passengers and vehicles (whether road or rail),25,,,,,,
